ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9239956568946797,0.9714397148414743,0.9347181008902077,0.8677685950413223,0.9,0.840347200972022
Decision Tree,0.9250814332247557,0.919880624426079,0.9129213483146067,0.8953168044077136,0.9040333796940194,0.8427078105384779
K-Nearest Neighbors,0.9055374592833876,0.9603908093644165,0.9058823529411765,0.8484848484848485,0.8762446657183499,0.801114663799252
Naive Bayes,0.8110749185667753,0.9448690225816325,0.6878727634194831,0.953168044077135,0.7990762124711316,0.6593897330112708
Random Forest,0.9619978284473398,0.9898891159888227,0.9581005586592178,0.9449035812672176,0.9514563106796117,0.9202964026399896
